ААГСН,акустическая активная головка самонаведения,
АБ,аккумуляторная батарея,
АВ,авианосец,
АВАКС,см. AWACS,
АДБР,авиадесантная бригада,
АМГ,авиационная многоцелевая группа, алюминий-магний (сплав),
АН (СССР),академия наук,
АНИМИ,артиллерийский научно-исследовательский морской институт,
АП,антенный пост,
АПД,аппаратура передачи данных,
АПКРРК,атомный подводный крейсер с крылатыми ракетами,
АПМ,авиационный магнитометр,
АПО,авиационное производственное объединение,
АПП,автомат постановки помех,
АППУ,атомная паропроизводящая установка,
АПР,авиационная противолодочная ракета,
АРКР,атомный ракетный крейсер,
АРЛГСН,активная радиолокационная головка самонаведения,
АСП,авиационный стрелковый прицел,
АСУ,автоматизированная система управления, артиллерийская самоходная установка,
АТ,авиационная торпеда,
АТГ,автономный турбогенератор,
АТАВКР,атомный тяжелый авианосный крейсер,
АУ,автоматическое управление, артиллерийская установка,
АУГ,авианосная ударная группа,
АФАР,активная фазированная антенная решетка,
АЭУ,атомная энергетическая установка,
БК,боекомплект, боевой комплект,
БД,(управляемая ракета) большой дальности,
БДК,большой десантный корабль,
БЗ,боезапас, боевой запас,
БИП,боевой информационный пост,
БИУС,боевая информационно-управляющая система,
БК,боекомплект, боевой комплект,
БКО,бортовой комплекс оборны,
БМ,боевой модуль (ЗРАК "Кортик"),
БМД,боевая машина десанта,
БМП,боевая машина пехоты,
БНК,большой надводный корабль,
бОСНАЗ,батальон особого назначения,
БП,боевой припас, боеприпас,
БПК,большой противолодочный корабль,
БПТС,бронебойный подкалиберный трассирующий снаряд,
БРЛС,бортовая радиолокационная станция,
БРЭО,бортовое радиоэлектронное оборудование,
БС,боевая служба,
БССР,Белорусская советская социалистическая республика,
БСУ,бортовая система управления,
БТР,бронетранспортер,
БТР-Д,бронетранспортер десантируемый,
БУГАС,буксируемая гидроакустическая станция,
БЦВМ,бортовая цифровая вычислительная машина,
БЧ,боевая часть,
ВБ,взрыватель бесконтактный,
ВБАУ,выпускное буксируемое антенное устройство,
ВВ,взрывчатое вещество, вертикальный взлет,
ВВ/ВКР,вертикальный взлет/взлет с коротким разбегом,
ВВАБТ,выпускная всплывающая антенна буйкового типа,
ВВП,вертикальный взлет и посадка, внутренний валовый продукт,
ВВР,водо-водяной реактор,
ВВС,военно-воздушные силы,
ВГИК,Всесоюзный государственный институт кинематографии,
ВГС,вертолетная гидроакустическая станция,
ВД,водометный движитель, вспомогательный движитель,
ВДВ,воздушно-десантные войска,
ВДД,воздушно-десантная дивизия,
ВДРК,вспомогательная движительно-рулевая колонка,
В/КВП,вертикальный/короткий взлет и посадка,
ВКО,воздушно-космическая оборона,
ВКП(б),Всесоюзная коммунистическая партия (большевиков),
ВКР,взлет с коротким разбегом,
ВКС,воздушно-космические силы,
ВЛ,ватерлиния,
ВЛКСМ,Всесоюзный Ленинский Коммунистический Союз Молодежи,
ВМБ,военно-морская база,
ВМС,военно-морские силы,
ВМФ,военно-морской флот,
ВНИИ,Всесоюзный (всероссийский) научно-исследовательский институт,
ВО,военный округ,
ВОВ,Великая Отечественная война,
ВОКУ,высшее общевойсковое командное училище,
ВП,вертикальная посадка,
ВПК,военно-промышленный комплекс, выдвижная поворотная колонка,
ВПП,взлетно-посадочная полоса (площадка),
ВППл,взлетно-посадочная площадка,
ВПУ,вертикальная пусковая установка,
ВС,вооруженные силы,
ВСК,всплывающая спасательная камера,
ВТА,военно-транспортная авиация,
ВТМ,внутритрюмная механизация,
ВТТ,вертолетная торпеда,
ВФТ,винт флюгерного типа (или двухпозиционный винт),
ВФШ,финт фиксированного шага,
ВЦ,воздушная цель,
в/ч,воинская часть,
ГАК,гидроакустический комплекс,
ГАС,гидроакустическая станция,
гв.,гвардейский,
ГДР,Германская демократическая республика,
ГИТИС,Государственный институт театрального искусства,
ГК НИИ ВВС,государственный Краснознаменный научно-исследовательский институт военно-воздушных сил,
ГКАТ,государственный комитет по авиационной технике,
ГКБКМ,главное конструкторское бюро компрессорного машиностроения,
ГКОТ,государственный комитет по оборонной технике,
ГКП,главный командный пост,
ГКРЭ,государственный комитет по радиоэлектронике,
ГКС,государственный комитет по судостроению,
ГМЗ,государственный машиностроительный завод,
ГНИКИ,государственный научно-испытательный краснознаменный институт,
Госкомстат,Государственный комитет статистики,
ГРАУ,главное ракетно-артиллерийское управление,
ГРУ,главное разведывательное управление,
ГС НИИ,государственный специальный научно-исследовательский институт,
ГСВГ,группироввка советских войск в Германии,
ГСИ,государственные совместные испытания,
ГСКБ,государственное специальное конструкторское бюро,
ГСН,головка самонаведения,
ГСС,Герой Советского Союза,
ГТГ,газотурбинный генератор,
ГТД,газотурбинный двигатель,
ГТЗА,главный турбозубчатый агрегат,
ГТУ,газотурбинная установка,
ГШ,Грязев-Шипунов,
ГЭД,гребной электрический двигатель,
ГЭУ,главная энергетическая установка,
ДГ,дизель-генератор,
ДД,дизельный двигатель,
ДТА,двухтрубный торпедный аппарат,
ДРЛО,дальнее радиолокационное обнаружение (обеспечение),
ДРП,динамореактивная пушка,
ДУ,дистанционное управление,
ДЭПЛ,дизель-электрическая подводная лодка,
ДЭУ,дизель-электрическая установка,
ЖКХ,жилищно-коммунальное хозяйство,
ЖРД,жидкостной реактивный двигатель,
ЗАБ,зажигательная авиационная бомба,
ЗАК,зенитный артиллерийский комплекс,
ЗБ,зажигательный бак,
ЗИП,запасной инструмент и припасы,
ЗИФ,завод имени Фрунзе,
ЗКБР,зенитный комплекс ближнего рубежа,
ЗПС,звукоподводная связь,
ЗРАК,зенитный ракетно-артиллерийский комплекс,
ЗРК,зенитно-ракетный комплекс,
ЗС -зенитный снаряд,
ЗУР,зенитная управляемая ракета,
ЗУРО,зенитное управляемое ракетное оружие,
ИА,истребительная авиация,
ИАП,истребительный авиационный полк,
ИГДМ,индукционная гидродинамическая мина,
ИД -,
ИК,инфракрасный (датчик),
ИКГСН,инфракрасная головка самонаведения,
ИНС,инерциальная навигационная система,
ИСЗ,искусственный спутник Земли,
КА,космический аппарат,
КАБ,корректируемая авиационная бомба,
КБ,конструкторское бюро,
КБМ,конструкторское бюро машиностроения,
КБП,конструкторское бюро приборостроения,
КБФ,Краснознаменный Балтийский флот,
КВВП,короткий взлет и вертикальная посадка,
КВЛ,конструктивная ватерлиния,
КВН,котел высоконапорный,
КВП,короткий взлет и посадка, корабль на воздушной подушке,
КГБ,Комитет государственной безопасности,
КГС -,
ККС,корабль комплексного снабжения,
клб,калибр,
КМ,корабль-макет, композитные материалы,
КМГУ,контейнер малогабаритных устройств,
КН,космическая навигация,
КНА,Корейская народная армия,
КнААПО,Комсомольское-на Амуре авиационное произовдственное объединение,
КНР,Китайская народная республика,
КНС,комплекс навигационных средств,
КОдВО,военный округ,
КОЛС,комбинированная оптико-локационная станция,
КПСС,коммунистическая партия Советского Союза,
КПУГ,корабельная поисково-ударная группа,
КР,крейсер, крылатая ракета,
КРАБ (КБ),корабельная большая мина,
КРМ,контрольно-ремонтная мастерская,
КРМБ,крылатая ракета морского базирования,
КРС,коррекция по радиосигналу,
КРУ,канал радиоуправления, командное радиоуправление,
КС,кабельное судно,
КСМ,корабельная средняя мина,
КСС,комплекс средств связи,
КСУ,комплекс средств управления,
КСУС,комплекс средств управления стрельбой,
КСФ,Краснознаменный Северный флот,
КСЩ,корабельный снаряд "Щука",
КТ,контейнерный тип (для пусковых установок),
КТТА,комбинированный твердотопливный агрегат,
КТУ,котлотурбинная установка,
КУГ,корабельная ударная группа,
КЦВС,корабельная цифровая вычислительная система,
КЧФ,Краснознаменный Черноморский флот,
ЛА,летательный аппарат,
ЛенВО,Ленинградский военный округ,
ЛИС,летно-испытательная станция,
ЛИИ,летно-исследовательский институт им. М.Громова,
ЛИиДБ,летно-испытательная и доводочная база,
ЛКЖ,лаборатория качества жизни,
ЛКИ,летно-конструкторские испытания,
ЛМЗ,Луховицкий машиностроительный завод,
ЛОМО,Ленинградское оптико-механическое объединение,
ЛТХ,летно-технические характеристики,
ЛФИ,легкий фронтовой истребитель,
МАП,министерство авиационной промышленности,
МАПО,московское авиационное производственное объединение,
МАЦКБ,морское артиллерийское центральное конструкторское бюро,
МД,(управляемая ракета) малой дальности,
МДВ,максимальная дальность видимости,
МЗ,машиностроительный завод,
МЗАК,малокалиберный зенитный артиллерийский комплекс,
Минавиапром,министерство авиационной промышленности,
Миноборонпром,министерство оборонной промышленности,
Минобщемаш,министерство общего машиностроения,
Минсудпром,министерство судостроительной промышленности,
МКБ,морское конструкторское бюро,
МКРЦ,(система) морской космической разведки и целеуказания ("Легенда"),
ММЗ,Московский машиностроительный завод,
МНР,Монгольская народная республика,
МО,министерство обороны (СССР), машинное отделение,
МОП,министерство оборонной промышленности,
МПК,малый противолодочный корабль,
МРК,малый ракетный корабль,
МРП,министерство радиопромышелнности,
МСД,мотострелковая дивизия,
МСП,министерство судостроительной промышленности,
МСРЦ,(система) морской самолетной разведки и целеуказания ("Успех"),
МТВ,морской транспорт вооружения,
МФИ,многофункциональный истребитель,
МФТИ,Московский физико-технический институт,
НАР,неуправляемая авиационная ракета,
нарком,народный комиссар,
наркомат,народный комиссариат,
НАР,неуправляемая авиационная ракета,
НАСУ,наземная автоматизированная система управления,
НАТО,см. NATO,
НВ,несущий винт,
НГАВ,неконтактный гидроакустический взрыватель,
НИИ,научно-исследовательский институт,
НИИАС,научно-исследовательский институт авиационных систем,
НИОКР,научно-исследовательские и опытно-конструкторские работы,
НИУ,научно-исследовательский университет,
НК,надводный корабль, навигационный комплекс,
НКВД,народный комиссариат внутренних дел,
НКШИ,Нижегородская кадетская школа-интернат,
НЛЦ,низколетящая цель,
НОАК,Народная освободительная армия Китая,
НПКБ,Невское проектно-конструкторское бюро,
НПО,научно-производственное объединение,
НРБ,народная республика Болгария,
НСДАП,Национал-социалистическая немецкая рабочая партия, см. NSDAP,
НТУ,национальный технический университет,
НЦ,наземная (надводная) цель,
ОАК,отдельный армейский корпус,
ОБВШ,Объединённая белорусская военная школа,
ОВД,Организация Варшавского Договора,
ОВП,обычный взлет и посадка,
ОДИСБ,отдельный дисциплинарный батальон,
ОДШБ,отдельный десантно-штурмовой батальон,
ОДШБР,отдельная десантно-штурмовая бригада,
ОДШП,отдельный десантно-штурмовой полк,
ОКБ,отдельное конструкторское бюро,
ОКПЛВП,отдельный корабельный противолодочный вертолетный полк,
ОКСВА,ограниченный контингент советских войск в Афганистане,
