Акроним названия режима химиотерапии	Компоненты и побуквенная расшифровка акронима	Примеры использования и примечания
7+3 или 3+7	7 дней непрерывной внутривенной инфузии Цитарабина плюс 3 дня болюсного внутривенного введения антрациклинового антибиотика, такого, как даунорубицин, доксорубицин или идарубицин или митоксантрон	Индукция ремиссии при остром миелоидном лейкозе
ABVD	Доксорубицин — (А)driamycin, Блеомицин — (B)leomycin, Винбластин — (V)inblastine, Дакарбазин — (D)acarbazine	Лимфогранулематоз
AC	Доксорубицин — (A)driamycin, Циклофосфамид — (C)yclophosphamide	Рак молочной железы
ADE или DAE	Цитарабин — (A)ra-C, Даунорубицин — (D)aunorubicin, Этопозид — (E)toposide	Острый миелоидный лейкоз
BACOD	Блеомицин — (B)leomycin, Доксорубицин — (A)driamycin, Циклофосфамид — (C)yclophosphamide, Винкристин — (O)ncovin, Дексаметазон — (D)examethasone	Неходжкинские лимфомы
BEACOPP	Блеомицин — (B)leomycin, Этопозид — (E)toposide, Доксорубицин — (A)driamycin, Циклофосфамид — (C)yclophosphamide, Винкристин — (O)ncovin, Прокарбазин — (P)rocarbazine, Преднизолон — (P)rednisolone	Лимфогранулематоз
BEP	Блеомицин — (B)leomycin, Этопозид — (E)toposide, Цисплатин — (P)latinol	Рак яичек, герминома
CA	Циклофосфамид — (C)yclophosphamide, Доксорубицин — (A)driamycin	Рак молочной железы
CAF	Циклофосфамид — (C)yclophosphamide, Доксорубицин — (A)driamycin, Фторурацил — (F)luorouracil	Рак молочной железы
CAPOX или XELOX	Капецитабин — (CAP)ecitabine или (XEL)oda, Оксалиплатин — (OX)aliplatin	Колоректальный рак
CAV	Циклофосфамид — (C)yclophosphamide, Доксорубицин — (A)driamycin, Винкристин — (V)incristine	Рак лёгкого
CBV	Циклофосфамид — (C)yclophosphamide, Кармустин — (B)CNU, Этопозид — (V)P-16 (кодовое название)	Лимфома
CEPP	Циклофосфамид — (C)yclophosphamide, Этопозид — (E)toposide, Прокарбазин — (P)rocarbazine, Преднизолон — (P)rednisolone	Неходжкинские лимфомы
CEPP(B) или CEPP-B	Циклофосфамид — (C)yclophosphamide, Этопозид — (E)toposide, Прокарбазин — (P)rocarbazine, Преднизолон — (P)rednisolone, Блеомицин — (B)leomycin	Неходжкинские лимфомы
CHOEP	Циклофосфамид — (C)yclophosphamide, Доксорубицин — (H)ydroxydaunorubicin, Винкристин — (O)ncovin, Этопозид — (E)toposide, Преднизолон — (P)rednisolone	Неходжкинские лимфомы
ChlVPP/EVA	Хлорамбуцил — (Chl)orambucil, Винкристин — (V)incristine, Прокарбазин — (P)rocarbazine, Преднизолон — (P)rednisolone / Этопозид — (E)toposide, Винбластин — (V)inblastin, Доксорубицин — (A)driamycin	Лимфогранулематоз
CHOP	Циклофосфамид — (C)yclophosphamide, Доксорубицин — (H)ydroxydaunorubicin, Винкристин — (O)ncovin, Преднизолон — (P)rednisolone	Неходжкинские лимфомы
CHOP-R, он же R-CHOP	Ритуксимаб — (R)ituximab, Циклофосфамид — (C)yclophosphamide, Доксорубицин — (H)ydroxydaunorubicin, Винкристин — (O)ncovin, Преднизолон — (P)rednisolone	В-клеточные неходжкинские лимфомы
ClaPD	Кларитромицин — (Cla)rithromycin, Помалидомид — (P)omalidomide, Дексаметазон — (D)examethasone
CMF	Циклофосфамид — (C)yclophosphamide, Метотрексат — (M)ethotrexate, Фторурацил — (F)luorouracil	Рак молочной железы
CMV	Цисплатин — (C)isplatin, Метотрексат — (M)ethotrexate, Винбластин — (V)inblastine
COP или CVP	Циклофосфамид — (C)yclophosphamide, Винкристин — (O)ncovin или (V)incristine, Преднизолон — (P)rednisolone	То же, что и CHOP, неходжкинские лимфомы у пациентов с сердечно-сосудистыми заболеваниями и противопоказаниями к доксорубицину
COPP	Циклофосфамид — (C)yclophosphamide, Винкристин — (O)ncovin, Прокарбазин — (P)rocarbazine, Преднизолон — (P)rednisolone	Лимфогранулематоз
CTD	Циклофосфамид — (C)yclophosphamide, Талидомид — (T)halidomide, Дексаметазон — (D)examethasone	Амилоидоз
CVAD и Hyper-CVAD	Циклофосфамид — (C)yclophosphamide, Винкристин — (V)incristine, Доксорубицин — (A)driamycin, Дексаметазон — (D)examethasone	Агрессивные неходжкинские лимфомы, лимфобластные лимфомы, некоторые формы лейкоза
CVAMP	Циклофосфамид — Cyclophosphamide, Винкристин — (V)incristine, Доксорубицин — (A)driamycin либо Цитарабин — (A)ra-C, Метотрексат — (M)ethotrexate, Преднизолон — (P)rednisolone	Лимфогранулематоз, Лейкоз, Множественная миелома
CYBORD	Циклофосфамид — (CY)clophosphamide, Бортезомиб — (BOR)tesomib, Дексаметазон — (D)examethasone
DAT	Даунорубицин — (D)aunorubicin, Цитарабин — (A)ra-C, Тиогуанин — (T)hioguanine	Острый миелоидный лейкоз
DCEP	Дексаметазон — (D)examethasone, Циклофосфамид — (C)yclophosphamide, Этопозид — (E)toposide, Цисплатин — (P)latinol
DHAP	Дексаметазон — (D)examethasone, высокодозный Цитарабин — High-dose Ara-C, Цисплатин — (P)latinol	рецидив неходжкинской лимфомы или лимфогранулематоза
DHAP-R или R-DHAP	Дексаметазон — (D)examethasone, высокодозный Цитарабин — High-dose Ara-C, Цисплатин — (P)latinol, Ритуксимаб — (R)ituximab	рецидив неходжкинской лимфомы или лимфогранулематоза
DICE	Дексаметазон — (D)examethasone, Ифосфамид — (I)fosfamide, Цисплатин — (C)isplatin, Этопозид — (E)toposide	рецидивы агрессивных лимфом, прогрессирующая нейробластома
DT-PACE	Дексаметазон — (D)examethasone, Талидомид — (T)halidomide, Цисплатин — (P)latinol, Доксорубицин — (A)driamycin, Циклофосфамид — (C)yclophosphamide, Этопозид — (E)toposide	Множественная миелома
EC	Эпирубицин — (E)pirubicin, Циклофосфамид — (C)yclophosphamide	Рак молочной железы
ECF	Эпирубицин — (E)pirubicin, Цисплатин — (C)isplatin, Фторурацил — (F)luorouracil	Рак желудка, рак пищевода
EOX	Эпирубицин — (E)pirubicin, Оксалиплатин — (O)xaliplatin, Капецитабин — (X)eloda
EP	Этопозид — (E)toposide, Цисплатин — (P)latinol	Рак яичек, герминома
EPOCH	Этопозид — (E)toposide, Преднизолон — (P)rednisolone, Винкристин — (O)ncovin, Циклофосфамид — (C)yclophosphamide, Доксорубицин — (H)ydroxydaunorubicin	Лимфомы
EPOCH-R или R-EPOCH	Этопозид — (E)toposide, Преднизолон — (P)rednisolone, Винкристин — (O)ncovin, Циклофосфамид — (C)yclophosphamide, Доксорубицин — (H)ydroxydaunorubicin, Ритуксимаб — (R)ituximab	Лимфомы
ESHAP	Этопозид — (E)toposide, Метилпреднизолон — (S)olu-Medrol, высокодозный Цитарабин — (H)igh-dose (A)ra-C, Цисплатин — (P)latinol	Лимфомы
