Музеи,
АГМО,Архангельское государственное музейное объединение,
АКМ,Азовский краеведческий музей,
АМИ,Антирелигиозный музей искусств, ЦАМ,Центральный антирелигиозный музей,
АМИИ,Архангельский областной музей изобразительных искусств,
АНМИ,Азербайджанский Национальный музей искусств имени Рустама Мустафаева (Баку),
АОКМ,Архангельский областной краеведческий музей,
АОМИИ,Архангельский областной музей изобразительных искусств,
БИХМ,Белозерский историко-художественный музей,
ВГИАХМЗ, ВГМЗ, ВМЗ,Вологодский государственный историко-архитектурный и художественный музей-заповедник,
ВИМ, ВИМА, ВИМАИВиВС,Военно-исторический музей артиллерии, инженерных войск и войск связи МО РФ,
ВОКГ,Вологодская областная картинная галерея,
ВОКМ, ВлОКМ,Вологодский областной краеведческий музей,
ВМДПНИ,Всероссийский музей декоративно-прикладного и народного искусства,
ВМОМК им. М.И. Глинки,Всероссийское музейное объединение музыкальной культуры имени М.И. Глинки (Москва),
ВМП,Всероссийский музей А. С. Пушкина (Петербург),
ВУМЗ, ВелУМЗ,Великоустюгский государственный историко-архитектурный и художественный музей-заповедник,
ВрОКМ,Воронежский областной краеведческий музей,
ВСМЗ, ВСХМ, ВСХМЗ, ВСИХМЗ, ВСГИАХМЗ, ГВСМЗ,Владимиро-Суздальский музей-заповедник, Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник, Государственный объединённый Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник; ГВСИАХМЗ,Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник,
ГИМ,Государственный Исторический музей,
ГЛМ,Государственный литературный музей (Москва),
ГМВ,Государственный музей искусства народов Востока (Москва),
ГМИР,Государственный музей истории религии,
ГМЗРК,Государственный музей-заповедник «Ростовский Кремль»,
ГМНЗИ,Государственный музей нового западного искусства (расформирован),
ГМИИ им. А. С. Пушкина,Государственный музей изобразительных искусств им. А. С. Пушкина,
ГМИИ РТ,Государственный музей изобразительных искусств Республики Татарстан,
ГМИЛ,Государственный музей истории Ленинграда,
ГМЭ,Государственный музей этнографии народов СССР, Санкт-Петербург,
ГНИМА им. Щусева, МУАР,Государственный научно-исследовательский музей архитектуры им. А.В. Щусева,
ГМИУз,Государственный музей искусств Узбекистана, Ташкент,
ГМК,Государственный музей керамики и «Усадьба Кусково XVIII в.»,
ГМПИ,Государственный музей палехского искусства,
ГМП,Государственный музей Пушкина,
ГМПИР,Государственный музей политической истории России (Петербург),
ГМР,Государственный музей Революции (Москва),
ГМТ,Государственный музей Л. Н. Толстого,
ГМФ,Государственный музейный фонд,
ГОП,Государственная Оружейная палата,
ГТГ,Государственная Третьяковская галерея,
ГРМ,Государственный Русский музей,
ГХМ им. М.С. Туганова,Государственное бюджетное учреждение культуры художественный музей имеи М.С. Туганова (Владикавказ),
ГЭ,Государственный Эрмитаж; ИЭ,Императорский Эрмитаж,
ДВХМ,Дальневосточный художественный музей (Хабаровск),
ДИХМ,Дмитровский историко-художественный музей,
ДКМ,Дмитровский краеведческий музей,
ДРЖ,отдел Древнерусской живописи. Имеется в ГИМ, ГРМ.,
ЕМИИ,Екатеринбургский музей изобразительных искусств,
ЗИХМЗ, ЗИХМ,Загорский историко-художественный музей-заповедник (ныне СПМЗ),
ЗККМ,Забайкальский краевой краеведческий музей (Чита),
ИОКМ,Ивановский областной краеведческий музей,
ИОХМ,Ивановский областной художественный музей,
ИХМ,Иркутский художественный музей,
КБИАХМЗ, КБМЗ,Кирилло-Белозерский историко-архитектурный и художественный музей-заповедник,
КГХМ,Костромской государственный объединённый художественный музей,
КИАМЗ,Костромской историко-архитектурный музей-заповедник,
КМИИ,Карельский музей изобразительных искусств,
КМИИ,Калужский музей изобразительных искусств,
КлОКМ,Калужский областной краеведческий музей,
КМТ,Краеведческий музей (Тотьма),
КГКМ,Карельский государственный краеведческий музей (г. Петрозаводск).,
КМРИ,Киевский музей русского искусства,
КОКМ,Калужский областной краеведческий музей,
КХМ,Калужский областной художественный музей,
КПОКМ,Коми-пермяцкий окружной краеведческий музей,
КрОКМ,Курский областной краеведческий музей,
ЛКМ,Лальский краеведческий музей,
ЛТМ,Ленинградский театральный музей; Санкт-Петербургский Государственный музей театрального и музыкального искусства,
МАГМА,частный Музей искусства авангарда Вячеслава Кантора,
МАЭ РАН,Музей антропологии и этнографии РАН (Кунсткамера),
МДФ,Московский дом фотографии, МАММ,Мультимедиа Арт Музей, Москва,
