А,арифметико-логическое устройство,
А,автоматизированное рабочее место,
А,автоматизированная система управления,
АЦПУ,алфавитно-цифровое печатающее устройство,
БД,база данных,
БИ,большая интегральная схема,
Бн,банк данных,
БН,блок начальной загрузки,
БСВВ - базовая система ввода - вывода (BIOS - Basic Input - Output System),
ВЗ,внешнее запоминающее устройство,
ВС,вычислительная сеть,
ВТ,вычислительная техника,
ВУ,внешнее устройство,
Г,гибкие магнитные диски, дискеты (FD - Floppy Disk),
Д,дисковая операционная система,
ЗУ,запоминающее устройство,
Л,локальная вычислительная сеть,
МД,магнитный диск,
МДМ,модем  (модулятор - демодулятор),
МЛ,магнитная лента.,
МП,микропроцессор,
НГМД,накопитель на гибком магнитном диске,
НЖМД,накопитель на жестком магнитном диске (HD - Hard Disk),
Н,настольная издательская система,
НМД,накопитель на магнитном диске (без уточнения типа),
НМЛ,накопитель на магнитной ленте,
ОЗ,оперативное запоминающее устройство (RAM - Random Access Memory - запоминающее устройство с произвольным выбором),
ОП,оперативная память (см. ОЗУ),
ОС,операционная система,
П,прямой доступ в память,
ПЗ,постоянное запоминающее устройство (ROM - Read Only Memory - запоминающее устройство только для чтения),
ПК,персональный компьютер,
ПО,программное обеспечение,
П,пакет прикладных программ,
ПУ,печатающее устройство,
ПЭВМ,персональная ЭВМ,
СБИС,сверхбольшая интегральная схема,
СП,сопроцессор,
СУБД,система управления базами данных,
ТБ,табличный процессор - программа (или пакет программ) для обработки информации, представленной в виде таблиц,
ТП,текстовый процессор - программа (или пакет программ) для обработки текстовой информации,
У,устройство ввода-вывода,
ЦП,центральный процессор,
Э,электронная вычислительная машина,
EBCDIC,Extended Binary Cоded Decimal Information Case - расширенный двоично-десятичный код обмена информацией,
IBM PC,персональный компьютер, совместимый по конструктивным характеристикам программному обеспечению с компьютерами фирмы IBM,
CD ROM,постоянное запоминающее устройство на лазерном компактном диске.
