АЛУ   - арифметико-логическое устройство,
АРМ   - автоматизированное рабочее место,
АСУ   - автоматизированная система управления,
АЦПУ - алфавитно-цифровое печатающее устройство,
БД      - база данных,
БИС    - большая интегральная схема,
БнД    - банк данных,
БНЗ    - блок начальной загрузки,
БСВВ - базовая система ввода - вывода (BIOS - Basic Input - Output System),
ВЗУ    - внешнее запоминающее устройство,
ВС      - вычислительная сеть,
ВТ      - вычислительная техника,
ВУ      - внешнее устройство,
ГМД   - гибкие магнитные диски, дискеты (FD - Floppy Disk),
ДОС   - дисковая операционная система,
ЗУ       - запоминающее устройство,
ЛВС   - локальная вычислительная сеть,
МД     - магнитный диск,
МДМ  - модем  (модулятор - демодулятор),
МЛ     - магнитная лента.,
МП     - микропроцессор,
НГМД          - накопитель на гибком магнитном диске,
НЖМД- накопитель на жестком магнитном диске (HD - Hard Disk),
НИС   - настольная издательская система,
НМД  - накопитель на магнитном диске (без уточнения типа),
НМЛ  - накопитель на магнитной ленте,
ОЗУ    - оперативное запоминающее устройство (RAM - Random Access Memory - запоминающее устройство с произвольным выбором),
ОП      - оперативная память (см. ОЗУ),
ОС      - операционная система,
ПДП   - прямой доступ в память,
ПЗУ    - постоянное запоминающее устройство (ROM - Read Only Memory - запоминающее устройство только для чтения),
ПК      - персональный компьютер,
ПО      - программное обеспечение,
ППП   - пакет прикладных программ,
ПУ      - печатающее устройство,
ПЭВМ  - персональная ЭВМ,
СБИС - сверхбольшая интегральная схема,
СП      - сопроцессор,
СУБД - система управления базами данных,
ТБП    - табличный процессор - программа (или пакет программ) для обработки информации, представленной в виде таблиц,
ТП      - текстовый процессор - программа (или пакет программ) для обработки текстовой информации,
УВВ   - устройство ввода-вывода,
ЦП      - центральный процессор,
ЭВМ   - электронная вычислительная машина,
EBCDIC - Extended Binary Cоded Decimal Information Case - расширенный двоично-десятичный код обмена информацией,
IBM PC - персональный компьютер, совместимый по конструктивным характеристикам программному обеспечению с компьютерами фирмы IBM,
CD ROM- постоянное запоминающее устройство на лазерном компактном диске.
