adj,союзная матрица,Математика,
Ai,функция Эйри,Математика,
arccos,функция арккосинуса,Математика,
arccosec,функция арккосеканса (в англоязычной традиции arccsc),Математика,
arcctg,функция арккотангенса (в англоязычной традиции arccot),Математика,
arcsch,функция гиперболического арккосеканса (в англоязычной традиции arcosech),Математика,
arch,функция гиперболического арккосинуса (в англоязычной традиции arcosh),Математика,
arcth,функция гиперболического арккотангенса (в англоязычной традиции arcoth),Математика,
arcsec,функция арксеканса,Математика,
arcsin,функция арксинуса,Математика,
arctg,функция арктангенса (в англоязычной традиции arctan),Математика,
arg,аргумент комплексного числа,Математика,
arg max,аргумент максимизации,Математика,
arg min,аргумент минимизации,Математика,
arsch,функция гиперболического арксеканса (в англоязычной традиции arsech),Математика,
arsh,функция гиперболического арксинуса (в англоязычной традиции arsinh),Математика,
arth,функция гиперболического арктагенса (в англоязычной традиции artanh),Математика,
Aut,группа автоморфизмов модели,Математика,
Bi,функция Эйри второго рода,Математика,
card,мощность множества,Математика,
ch,функция гиперболического косинуса (в англоязычной традиции cosh),Математика,
char,характеристика кольца,Математика,
Ci, ci, Cin,функции интегрального косинуса,Математика,
cl,топологическое замыкание,Математика,
cod,область значений функции,Математика,
const,константа,Математика,
cos,функция косинуса,Математика,
cosec,функция косеканса (в англоязычной традиции csc),Математика,
cov,ковариация случайных величин,Математика,
csch,функция гиперболического косеканса(в англоязычной традиции cosech),Математика,
ctg,функция котангенса (в англоязычной традиции cot),Математика,
cth,функция гиперболического котангенса (в англоязычной традиции coth),Математика,
D,дисперсия случайной величины (в англоязычной традиции var),Математика,
def,дефиниция,Математика,
deg,степень многочлена (также обозначается как ∂),Математика,
del,оператор набла (также обозначается как {\displaystyle \nabla } \nabla , однако обычно отдельно не употребляется),Математика,
det,определитель матрицы или линейного преобразования (также обозначается как {\displaystyle |\cdot |} |\cdot|),Математика,
diag,диагональная матрица,Математика,
dim,размерность векторного пространства,Математика,
div,дивергенция векторного поля (также обозначается как {\displaystyle \nabla \cdot } \nabla \cdot ),Математика,
dom,область определения функции,Математика,
End,эндоморфизм модели,Математика,
Ei,интегральная показательная функция,Математика,
erf,функция ошибок,Математика,
erfc, Erf,дополнительная функция ошибок,Математика,
exp,экспоненциальная функция,Математика,
ext,внешность топологии,Математика,
Gal,группа Галуа (также обозначается как Γ),Математика,
gcd, hcf,наибольший общий делитель (в русскоязычной традиции НОД),Математика,
grad,градиент поля (также обозначается как {\displaystyle \nabla } \nabla ),Математика,
id,тождественное отображение,Математика,
Im,мнимая часть комплексного числа или образ (также обозначается как {\displaystyle \Im } \Im),Математика,
inf,точная нижняя грань,Математика,
int,внутренняя точка множества или внутренность множества,Математика,
Ker,ядро,Математика,
lb,двоичный логарифм (log2),Математика,
lcm,наименьшее общее кратное (в русскоязычной традиции НОК),Математика,
lg,десятичный логарифм (log10) или двоичный логарифм (log2),Математика,
Li, li,функция интегрального логарифма,Математика,
lim,предел последовательности или функции,Математика,
ln,натуральный логарифм, loge,Математика,
log,логарифм,Математика,
logit,обратная к логистической функции,Математика,
max,максимум функции или множества,Математика,
mes,мера множества,
min,минимум функции или множества,Математика,
QED,что и требовалось доказать или quod erat demonstrandum,Математика,
probit,нормальная квантильная функция,Математика,
Re,действительная часть комплексного числа (также обозначается как {\displaystyle \Re } \Re),Математика,
Rk,ранг матрицы (также обозначается как Rg, Rang, Rank),Математика,
rot,ротор векторного поля (также обозначается как {\displaystyle \nabla \times } \nabla \times , только в англоязычной традиции curl),Математика,
sch,функция гиперболического секанса (в англоязычной традиции sech),Математика,
sec,функция секанса,Математика,
sgn,функция сигнум (также обозначается как sign),Математика,
Si, si,функция интегрального синуса,Математика,
sin,функция синуса,Математика,
sh,функция гиперболического синуса (в англоязычной традиции sinh),Математика,
Sp,см. Tr,Математика,
span,линейная оболочка,Математика,
sup,точная верхняя граница множества (в англоязычной традиции lub),Математика,
supp,носитель функции,Математика,
Sym,симметрическая группа,Математика,
tg,функция тангенса (в англоязычной традиции tan),Математика,
th,функция гиперболического тангенса (в англоязычной традиции tanh),Математика,
Tr,след поля или след матрицы или линейного преобразования (также обозначается как Sp),Математика,
whp,с высокой вероятностью,Математика,
WO,Вполне упорядоченное множество,[источник не указан 2942 дня],Математика,
ZF,аксиомы Цермело-Френкеля теории множеств,Математика,
ZFC,аксиомы Цермело-Френкеля с аксиомой выбора теории множеств.,Математика,
НОД,наибольший общий делитель (в англоязычной традиции gcd, hcf),Математика,
НОК,наименьшее общее кратное (в англоязычной традиции lcm),Математика,
